,id,Idade,Faixa idade,Genero,Estado onde mora,uf onde mora,Regiao onde mora,Regiao de origem,Mudou de Estado?,Nivel de Ensino,Área de Formação,Qual sua situação atual de trabalho?,Setor,Numero de Funcionarios,Gestor?,Cargo como Gestor,Cargo Atual,Nivel,Faixa salarial,Quanto tempo de experiência na área de dados você tem?,Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?,Você participou de entrevistas de emprego nos últimos 6 meses?,Você pretende mudar de emprego nos próximos 6 meses?,Ainda não conhecia o Data Hackers
928,s7e9jj78vf0cgnp7vgzs7e9jio51p3fa,47,45-49,Masculino,Distrito Federal (DF),DF,Centro-oeste,,0,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outro,de 501 a 1000,0.0,,Analista de BI/BI Analyst/Analytics Engineer,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,de 6 a 10 anos,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,Estou em busca de oportunidades dentro ou fora do Brasil,1
929,s77hd28oiovetkj9bpxhrs77hdjwdfyh,33,30-34,Masculino,Minas Gerais (MG),MG,Sudeste,,0,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,Acima de 3000,0.0,,Analista de BI/BI Analyst/Analytics Engineer,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,de 2 a 3 anos,"Sim, fui aprovado mas decidi não mudar de emprego",Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,0
930,s6vwlrd9qow4iivqdvp4gziw8s6vwlrd,23,22-24,Masculino,Rio Grande do Sul (RS),RS,Sul,,0,Pós-graduação,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,de 501 a 1000,0.0,,Analista de BI/BI Analyst/Analytics Engineer,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Menos de 1 ano,"Sim, fiz entrevistas mas não fui aprovado",Estou em busca de oportunidades dentro ou fora do Brasil,1
931,2l6as57wp5aey4ielsfl2l6asd54joiw,23,22-24,Masculino,Goiás (GO),GO,Centro-oeste,,0,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,de 51 a 100,0.0,,Suporte Técnico,Pleno,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,de 2 a 3 anos,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,Estou em busca de oportunidades dentro ou fora do Brasil,1
932,s5m2ijr9sujpxs5m2iw6h695y5al67ys,21,17-21,Masculino,São Paulo (SP),SP,Sudeste,,0,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Marketing,de 51 a 100,0.0,,Analista de Dados/Data Analyst,Sênior,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Sim, fui aprovado mas decidi não mudar de emprego","Estou em busca de oportunidades, mas apenas fora do Brasil",0
933,s2wi3jfs56r27pqs2wi3bbuknvwly6vz,27,25-29,Masculino,São Paulo (SP),SP,Sudeste,,0,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Internet/Ecommerce,de 11 a 50,0.0,,Engenheiro de Dados/Data Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,de 1 a 2 anos,"Sim, fui aprovado mas decidi não mudar de emprego",Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,0
934,s27c08qmxzrkqpws278q98hy8ngnlo06,30,30-34,Masculino,São Paulo (SP),SP,Sudeste,,0,Doutorado ou Phd,Química / Física,Empregado (CLT),Tecnologia/Fábrica de Software,de 501 a 1000,0.0,,Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Sim, fui aprovado mas decidi não mudar de emprego",Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,0
935,s1q8id2jt9b576wij5s1q8ipc4dvm62p,29,25-29,Feminino,São Paulo (SP),SP,Sudeste,,0,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil (PJ),Marketing,de 11 a 50,0.0,,Analista de Marketing,Júnior,de R$ 2.001/mês a R$ 3000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Sim, fui aprovado e mudei de emprego","Não estou buscando, mas me considero aberto a outras oportunidades",1
936,s12e9xwag6dytxhfs15n6oowcsv0xwzu,32,30-34,Masculino,São Paulo (SP),SP,Sudeste,,0,Doutorado ou Phd,Ciências Biológicas/Farmácia/Medicina/Área da Saúde,Empregado (CLT),Área da Saúde,de 51 a 100,0.0,,Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,"Não estou buscando, mas me considero aberto a outras oportunidades",0
937,rz58fc1p9x3tns4rbsrz58191yrwmpgs,44,40-44,Masculino,São Paulo (SP),SP,Sudeste,,0,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Outro,de 101 a 500,0.0,,Outro,Sênior,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Sim, fiz entrevistas mas não fui aprovado",Estou em busca de oportunidades dentro ou fora do Brasil,1
938,0153iak0ju979lvvzhb0153iap1ob6kr,24,22-24,Masculino,Rio de Janeiro (RJ),RJ,Sudeste,,0,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empreendedor ou Empregado (CNPJ),Finanças ou Bancos,de 101 a 500,0.0,,Engenheiro de Dados/Data Engineer,Júnior,de R$ 8.001/mês a R$ 12.000/mês,Menos de 1 ano,de 1 a 2 anos,"Sim, fui aprovado e mudei de emprego",Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,0
